Referencia;Referencia Proveedor;Referencia Fabricante;Codigo Proveedor;Nombre Proveedor;Codigo Fabricante;Nombre Fabricante
PH 7010;GIANT ONLINE 3P/3P 10KVA;;19539;VOLTRONIC POWER;0;
PH 7015;GIANT ONLINE 3P/3P 15KVA;;19539;VOLTRONIC POWER;0;
PH 7060;GIANT ONLINE 3P/3P 60KVA;;19539;VOLTRONIC POWER;0;
PH 7062;;;19539;VOLTRONIC POWER;0;
PH 7080;GIANT ONLINE 3P/3P 80KVA;;19539;VOLTRONIC POWER;0;
PH 7100;GIANT ONLINE 3P/3P 100KVA;;19539;VOLTRONIC POWER;0;
PH 7120;GIANT ONLINE 3P/3P 120KVA;;19539;VOLTRONIC POWER;0;
PH 7210;1PE-C001940-00GE;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7266;1PE-C001023-00G-CITY600;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7288;1PE-C001939-00GE;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7312;1PE-C001026-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7312-RA+;;;1126;INTERNO;0;
PH 7315;1PE-C001027-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7322;1PE-C001028-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7322-RA;;;1126;INTERNO;0;
PH 7512;1PE-C001017-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7521;1PE-C001018-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7530;1PE-C001019-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7610;1PE-C001020-OOG;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7621;1PE-C001021-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7631;1PE-C001022-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 7690;1MH-3101000-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 8010;WINNER PRO+;P1T;19539;VOLTRONIC POWER;29429;PHASAK
PH 8010-RA+;;;1126;INTERNO;0;
PH 8020;WINNER PRO+;P2T;19539;VOLTRONIC POWER;29429;PHASAK
PH 8022;P2T BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 8030;P3T WINNER PRO+;P3T;19539;VOLTRONIC POWER;29429;PHASAK
PH 8030-RA;;;1126;INTERNO;0;
PH 8030-RA+;;;1126;INTERNO;0;
PH 8032;P3T BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9465;P6N;VESTA 650 LCD;19539;VOLTRONIC POWER;29429;PHASAK
PH 9485;P8N - VESTA 850 LCD;VESTA 850 LCD;19539;VOLTRONIC POWER;29429;PHASAK
PH 9410;P1B-APEX;APEX 1000 LCD;19539;VOLTRONIC POWER;29429;PHASAK
PH 9420;P2B-APEX;VESTA 2000 LCD;19539;VOLTRONIC POWER;29429;PHASAK
PH 9315;GALLEON 1.5K RACK;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9220;1PE-C001402-00G;FRIGATE 2K;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 9230;1PE-C001403-00G;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 9330;GALLEON RM-3K RACK;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9260;P6T - WINNER PRO+ 6K;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9270;GALLEON ONE 10K;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9408;P8B(APEX 800);APEX 800;19539;VOLTRONIC POWER;29429;PHASAK
PH 9210;1PE-C001401-00G;FRIGATE 1000VA/800W;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 9205;ATS 16A, 19";;19539;VOLTRONIC POWER;29429;PHASAK
PH 9406;P6B(APEX 600);APEX 600;19539;VOLTRONIC POWER;29429;PHASAK
PH 9360;GALLEON ONE 6K RACK;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9301;GALLEON ONE 10K RACK;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9273;GALLEON II 3/3-10K;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9293;GALLEON II 3/3-3/1-20KVA/20KW;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9275;BATTERY BANK GALLEON;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9276;BATTERY CABLE GALLEON3/3 10KL UP;;19539;VOLTRONIC POWER;0;
PH 9481;P8B;APEX 800;19539;VOLTRONIC POWER;0;
PH 9232;1B0-C000183-00GE;;27610;Cyber Energy Co., Ltd.;29429;PHASAK
PH 9262;P6T BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9294;PH9293 BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9282;PH9280 BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9268;PH9265/9270 BANK BATTERY;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9283;GALLEON II 3/3 30K TOWER;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9284;GALLEON II 3/3 40K;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9312;EMPTY BATT BANK TO PH 9310;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9316;EMPTY BATT BANK TO PH 9315;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9322;EMPTY BATT BANK TO PH 9320;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9332;EMPTY BATT BANK TO PH 9330;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9362;EMPTY BATT BANK TO PH 9360;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9464;P6N;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9274;EMPTY BATT BANK TO PH 9273;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9295;;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9285;;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9310-OUT;;;1126;INTERNO;0;
PH 9478;AKA 800;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9286;GALLEON III 3/3 60K;;19539;VOLTRONIC POWER;29429;PHASAK
PHB 1207;;;29282;NPP POWER EUROPE B.V.;29429;PHASAK
PHB 1209;;;29282;NPP POWER EUROPE B.V.;29429;PHASAK
PH 9287;C20 - EMPTY DIY BATTERY BANK;;19539;VOLTRONIC POWER;29429;PHASAK
PH 9210-RB;;;1126;INTERNO;0;
PH 9420-RB;;;1126;INTERNO;0;
PH 9408-RB;;;1126;INTERNO;0;
PHC 2107;FORM SH-7U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2109;FORM SH-9U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2112;FORM SH-12U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2207;FORM ALFA-7U450;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2209;FORM ALFA-9U450;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2212;FORM ALFA-12U450;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2216;FORM ALFA-16U450;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2220;FORM ALFA-20U450;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6616;FORM INT-16U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6620;FORM INT-20U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6626;FORM INT-26U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6632;FORM BETA-32U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6636;FORM BETA-36U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6642;FORM BETA-42U6060;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6816;FORM BETA-16U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6820;FORM BETA-20U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6826;FORM BETA-26U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6832;FORM BETA-32U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6836;FORM BETA-36U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6116;FORM BETA-16U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6120;FORM BETA-20U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6126;FORM BETA-26U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6132;FORM BETA-32U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6136;FORM BETA-36U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6142;FORM BETA-42U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5642;F022F2;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5644;F022F4;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5646;F022F6;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5652;F024F2T;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5654;F024F4T;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5260;F2166SR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5280;F2168SR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5656;F024F6T;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5741;F021F1V;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5742;F021F2V;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5751;F024F1VT;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5655;F024F4DT;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 1009;F082PR9SA;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 1012;F082PR12SA;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5062;F226HR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5082;F228HR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5210;F21610SREK;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5092;F2210HREK;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5093;F21610SR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5111;F2310KD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5112;F2320KD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5325;FSHRA1U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5332;F101RA1U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5335;F101RA2U;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3301;F0565OT;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;0;
PHC 3302;F0565OT2;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;0;
PHC 9085;F041TKR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 9086;F042TKR;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 9090;F041AYK;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5041;F0126KA01;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5042;F0126KA02;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5752;F024F2VT;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3109;FORM ALFA-9U600;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3112;FORM ALFA-12U600;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3116;FORM ALFA-16U600;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3120;FORM ALFA-20U600;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6147;FORM CSM-47U60100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6842;FORM BETA-42U6080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 8136;FORM BETA-36U80100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 8142;FORM BETA-42U80100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 8147;FORM CSM-47U80100;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 8836;FORM BETA-36U8080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 8842;FORM BETA-42U8080;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5085;F08FAN-BB;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 2112-OUT;;;1126;INTERNO;0;
PHC 2220-OUT;;;1126;INTERNO;0;
PHC 4620;F20U60BETASPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 4636;F36U60BETASPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 4642;F42U60BETASPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 4520;F20U60INTSPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 4836;F36U80BETADPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 4842;F42U80BETADPD;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 3112G;FORM ALFA-12U600(WHI;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6620G;FORM INT-20U6060(7035);;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 6632G;FORM BETA-32U6060(WH;;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHC 5260G;F2166SR(WHITE);;29016;FORM MAKÍNA ve AKSAMLARI SAN.TÍC.LTD.STI;29429;PHASAK
PHP 5162;SA.0760.1901;;22210;TOTEN (HK) CO., LIMITED;29429;PHASAK
PHP 5650;SA.4717.0001;;22210;TOTEN (HK) CO., LIMITED;29429;PHASAK
PHP 9084;;;1126;INTERNO;0;
PHR 6301;;;24444;Starz Cable Technology Limited;29429;PHASAK
PHR 6302;;;24444;Starz Cable Technology Limited;29429;PHASAK
PHR 6312;;;24444;Starz Cable Technology Limited;29429;PHASAK
PHO 2106;AWMS-6406;;28338;ATNT(Jiangxi Resing Communication Equipment Co.,Ltd);29429;PHASAK
