Mov Alm -> Referencia;Número de Serie;Mov Alm -> Fecha;Mov Alm -> Salidas;Mov Alm -> Entradas;Mov Alm -> Cantidad con signo
PH 7210;3200437X30000043;19-Dic-2018;4;0;-4
PH 7210;3200437X30000044;19-Dic-2018;4;0;-4
PH 7210;3200437X30000045;19-Dic-2018;4;0;-4
PH 7210;3200437X30000207;19-Dic-2018;4;0;-4
PH 7210;3200437X30000071;19-Dic-2018;2;0;-2
PH 7210;3200437X30000072;19-Dic-2018;2;0;-2
PH 7210;3200437X30000064;9-Ene-2019;4;0;-4
PH 7210;3200437X30000067;9-Ene-2019;4;0;-4
PH 7210;3200437X30000068;9-Ene-2019;4;0;-4
PH 7210;3200437X30000069;9-Ene-2019;4;0;-4
PH 7210;3200437X30000061;16-Ene-2019;5;0;-5
PH 7210;3200437X30000062;16-Ene-2019;5;0;-5
PH 7210;3200437X30000063;16-Ene-2019;5;0;-5
PH 7210;3200437X30000238;16-Ene-2019;5;0;-5
PH 7210;3200437X30000240;16-Ene-2019;5;0;-5
PH 7210;3200437X30000235;21-Ene-2019;4;0;-4
PH 7210;3200437X30000236;21-Ene-2019;4;0;-4
PH 7210;3200437X30000237;21-Ene-2019;4;0;-4
PH 7210;3200437X30000239;21-Ene-2019;4;0;-4
PH 7210;3200437X30000066;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000325;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000326;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000327;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000331;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000332;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000333;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000352;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000353;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000354;11-Feb-2019;10;0;-10
PH 7210;3200438Q30000355;26-Mar-2019;1;0;-1
PH 7210;3200438Q30000356;5-Abr-2019;5;0;-5
PH 7210;3200438Q30000357;5-Abr-2019;5;0;-5
PH 7210;3200438Q30000364;5-Abr-2019;5;0;-5
PH 7210;3200438Q30000365;5-Abr-2019;5;0;-5
PH 7210;3200438Q30000366;5-Abr-2019;5;0;-5
PH 7210;3200438Q30000335;11-Abr-2019;5;0;-5
PH 7210;3200438Q30000336;11-Abr-2019;5;0;-5
PH 7210;3200438Q30000367;11-Abr-2019;5;0;-5
PH 7210;3200438Q30000368;11-Abr-2019;5;0;-5
PH 7210;3200438Q30000369;11-Abr-2019;5;0;-5
PH 7210;3200438Q30000337;16-Abr-2019;4;0;-4
PH 7210;3200438Q30000338;16-Abr-2019;4;0;-4
PH 7210;3200438Q30000339;16-Abr-2019;4;0;-4
PH 7210;3200438Q30000378;16-Abr-2019;4;0;-4
PH 7210;3200438Q30000334;23-Abr-2019;4;0;-4
PH 7210;3200438Q30000361;23-Abr-2019;4;0;-4
PH 7210;3200438Q30000362;23-Abr-2019;4;0;-4
PH 7210;3200438Q30000363;23-Abr-2019;4;0;-4
PH 7210;3200438Q30000248;9-May-2019;1;0;-1
PH 7210;3200438q30000251;20-May-2019;1;0;-1
PH 7210;3200438Q30000111;29-May-2019;2;0;-2
PH 7210;3200438Q30000110;29-May-2019;2;0;-2
PH 7210;3200438Q30000106;30-May-2019;6;0;-6
PH 7210;3200438Q30000107;30-May-2019;6;0;-6
PH 7210;3200438Q30000108;30-May-2019;6;0;-6
PH 7210;3200438Q30000115;30-May-2019;6;0;-6
PH 7210;3200438Q30000116;30-May-2019;6;0;-6
PH 7210;3200438Q30000117;30-May-2019;6;0;-6
PH 7210;3200438Q30000095;4-Jun-2019;2;0;-2
PH 7210;3200438Q30000096;4-Jun-2019;2;0;-2
PH 7210;3200438Q30000220;10-Jun-2019;3;0;-3
PH 7210;3200438Q30000221;10-Jun-2019;3;0;-3
PH 7210;3200438Q30000222;10-Jun-2019;3;0;-3
PH 7210;3200438Q30000242;17-Jun-2019;2;0;-2
PH 7210;3200438Q30000243;17-Jun-2019;2;0;-2
PH 7210;3200438Q30000098;24-Jun-2019;5;0;-5
PH 7210;3200438Q30000099;24-Jun-2019;5;0;-5
PH 7210;3200438Q30000235;24-Jun-2019;5;0;-5
PH 7210;3200438Q30000236;24-Jun-2019;5;0;-5
PH 7210;3200438Q30000237;24-Jun-2019;5;0;-5
PH 7210;3200438Q30000088;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000089;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000090;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000097;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000103;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000104;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000105;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000217;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000218;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000219;26-Jun-2019;10;0;-10
PH 7210;3200438Q30000083;11-Jul-2019;1;0;-1
PH 7210;3200438Q30000082;17-Jul-2019;1;0;-1
PH 7210;3200438q30000076;20-Ago-2019;2;0;-2
PH 7210;3200438q30000077;20-Ago-2019;2;0;-2
PH 7210;3200438Q30000080;23-Ago-2019;4;0;-4
PH 7210;3200438Q30000100;23-Ago-2019;4;0;-4
PH 7210;3200438Q30000101;23-Ago-2019;4;0;-4
PH 7210;3200438Q30000102;23-Ago-2019;4;0;-4
PH 7210;3200438Q30000081;5-Sep-2019;4;0;-4
PH 7210;3200438Q30000121;5-Sep-2019;4;0;-4
PH 7210;3200438Q30000122;5-Sep-2019;4;0;-4
PH 7210;3200438Q30000123;5-Sep-2019;4;0;-4
PH 7210;3200438Q30000079;9-Sep-2019;1;0;-1
PH 7210;3200438Q30000118;25-Sep-2019;2;0;-2
PH 7210;3200438Q30000120;25-Sep-2019;2;0;-2
PH 7210;3200438Q30000299;1-Oct-2019;2;0;-2
PH 7210;3200438Q30000300;1-Oct-2019;2;0;-2
PH 7210;3200438Q30000289;17-Oct-2019;1;0;-1
PH 7210;3200438q30000290;28-Oct-2019;1;0;-1
PH 7210;3200438Q30000302;11-Nov-2019;2;0;-2
PH 7210;3200438Q30000303;11-Nov-2019;2;0;-2
PH 7210;3200438Q30000292;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000304;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000305;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000306;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000310;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000311;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000312;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000316;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000317;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000318;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000259;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000260;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000261;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000268;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000269;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000270;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000293;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000313;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000314;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000315;13-Nov-2019;10;0;-10
PH 7210;3200438Q30000294;18-Nov-2019;1;0;-1
PH 7210;3200438Q30000319;18-Nov-2019;4;0;-4
PH 7210;3200438Q30000320;18-Nov-2019;4;0;-4
PH 7210;3200438Q30000321;18-Nov-2019;4;0;-4
PH 7210;3200438Q30000323;18-Nov-2019;4;0;-4
PH 7210;3200438Q30000274;2-Dic-2019;4;0;-4
PH 7210;3200438Q30000280;2-Dic-2019;4;0;-4
PH 7210;3200438Q30000281;2-Dic-2019;4;0;-4
PH 7210;3200438Q30000282;2-Dic-2019;4;0;-4
PH 7210;3200438q30000256;2-Dic-2019;1;0;-1
