Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Escalón de precio;Codigo Cliente;Codigo Factura;Fecha Factura;Serie Factura;Codigo Comercial;Empresa Emisora;Nombre Tarifa
PH 7210;-2;0;2;0;53,84;107,68;205;34,35;1;20466;04-M/22-00015;12-01-2022;18;516;4;NPVM
PH 7210;-1;0;1;0;56,67;56,67;204;34,35;1;48380;08-N/22-00081;13-01-2022;1;527;8;NPVD
PH 7210;-4;0;4;4;65,29;261,16;191;34,35;1;66756;09-PM/22-00174;27-01-2022;45;54985;9;NPVD
PH 7210;4;4;0;0;65,29;-261,16;191;34,35;1;66756;09-PM/22-00184;31-01-2022;45;54985;9;NPVD
PH 7210;-4;0;4;0;65,29;261,16;191;34,35;1;67664;09-S/22-00031;31-01-2022;38;54985;9;NPVD
PH 7210;-1;0;1;0;62,81;62,81;185;34,35;1;66998;09-PM/22-00256;14-02-2022;45;54985;9;NPVD
PH 7210;-4;0;4;0;56,67;226,68;177;34,35;1;66940;08-N/22-00515;22-02-2022;1;516;8;NPVD
PH 7210;-1;0;1;0;62,81;62,81;159;34,35;1;66998;09-PM/22-00379;7-03-2022;45;54985;9;NPVD
PH 7210;-5;0;5;0;53,84;269,20;152;34,35;1;48078;04-M/22-00145;9-03-2022;18;527;4;NPVM
PH 7210;-1;0;1;0;44,74;44,74;151;34,35;1;67488;04-S/22-00003;16-03-2022;38;54985;4;NPVD
PH 7210;-5;0;5;0;53,84;269,20;143;34,35;1;40621;04-N/22-00056;18-03-2022;1;516;4;NPVM
PH 7210;-2;0;2;0;76,64;153,28;142;34,35;1;66756;09-PM/22-00458;21-03-2022;45;54985;9;NPVD
PH 7210;-2;0;2;0;53,84;107,68;138;34,35;1;20466;04-M/22-00166;22-03-2022;18;516;4;NPVM
PH 7210;-1;0;1;0;76,03;76,03;138;34,35;1;66998;09-PM/22-00473;23-03-2022;45;54985;9;NPVD
PH 7210;1;1;0;0;52,73;-52,73;137;34,35;1;67488;04-S/22-00004;24-03-2022;38;54985;4;NPVD
PH 7210;-1;0;1;0;42,97;42,97;137;34,35;1;67488;04-S/22-00004;24-03-2022;38;54985;4;NPVD
PH 7210;-5;0;5;0;51,71;258,55;132;34,35;1;52836;04-N/22-00060;24-03-2022;1;516;4;NPVM
PH 7210;-2;0;2;0;56,67;113,34;130;34,35;1;67743;08-N/22-00856;25-03-2022;1;516;8;NPVD
PH 7210;-6;0;6;2;54,39;326,34;230;35,99;1;39162;04-M/22-00199;31-03-2022;18;516;4;NPVM
PH 7210;-63;0;63;0;51,17;3223,71;167;35,99;3;34760;04-M/22-00204;4-04-2022;18;67765;4;NPVM
PH 7210;-1;0;1;0;44,15;44,15;166;35,99;1;67488;04-S/22-00005;18-04-2022;38;54985;4;NPVD
PH 7210;-1;0;1;1;92,00;92,00;158;35,99;1;66998;09-PM/22-00612;27-04-2022;45;54985;9;NPVD
PH 7210;1;1;0;0;92,00;-92,00;158;35,99;1;66998;09-PM/22-00617;27-04-2022;45;54985;9;NPVD
PH 7210;-1;0;1;0;89,00;89,00;158;35,99;1;67795;09-S/22-00071;27-04-2022;38;54985;9;NPVD
PH 7210;-1;0;1;0;51,17;51,17;141;35,99;3;52836;04-N/22-00084;6-05-2022;1;516;4;NPVM
PH 7210;-1;0;1;0;67,77;67,77;120;35,99;1;66756;09-PM/22-00690;13-05-2022;45;54985;9;NPVD
PH 7210;-4;0;4;0;56,11;224,44;116;35,99;2;66940;08-N/22-01345;13-05-2022;1;516;8;NPVD
PH 7210;-4;0;4;0;67,77;271,08;112;35,99;2;66756;09-PM/22-00723;17-05-2022;45;54985;9;NPVD
PH 7210;-4;0;4;0;53,84;215,36;104;35,99;1;57805;04-N/22-00091;23-05-2022;1;527;4;NPVM
PH 7210;-5;0;5;0;54,39;271,95;95;35,99;1;40621;04-N/22-00095;26-05-2022;1;516;4;NPVM
PH 7210;-1;0;1;0;56,98;56,98;79;35,99;1;20466;04-M/22-00409;17-06-2022;18;516;4;NPVM
PH 7210;2;2;0;0;54,39;-108,78;206;38,20;1;39162;04-M/22-00440;27-06-2022;18;516;4;NPVM
PH 7210;-5;0;5;0;54,73;273,65;176;38,20;1;40621;04-N/22-00119;4-07-2022;1;516;4;NPVM
PH 7210;-1;0;1;0;67,77;67,77;175;38,20;1;68022;09-S/22-00228;5-07-2022;38;54985;9;NPVD
PH 7210;-1;0;1;0;67,77;67,77;173;38,20;1;66999;09-PM/22-01113;11-07-2022;45;54985;9;NPVD
PH 7210;-1;0;1;0;57,60;57,60;170;38,20;1;20466;04-M/22-00490;15-07-2022;18;516;4;NPVM
PH 7210;-3;0;3;0;71,07;213,21;167;38,20;1;68109;09-S/22-00306;19-07-2022;38;54985;9;NPVD
PH 7210;-2;0;2;0;57,60;115,20;165;38,20;1;39162;04-M/22-00500;20-07-2022;18;516;4;NPVM
PH 7210;-1;0;1;0;73,65;73,65;134;38,20;1;66999;09-PM/22-01137;21-07-2022;45;54985;9;NPVD
PH 7210;-1;0;1;0;44,73;44,73;134;38,20;1;67488;04-S/22-00008;22-07-2022;38;54985;4;NPVD
PH 7210;-1;0;1;0;67,77;67,77;125;38,20;1;66999;09-PM/22-01174;3-08-2022;45;54985;9;NPVD
PH 7210;-1;0;1;0;52,50;52,50;116;38,20;1;67488;04-S/22-00009;12-08-2022;38;54985;4;NPVD
PH 7210;-2;0;2;0;67,77;135,54;114;38,20;1;66999;09-PM/22-01203;22-08-2022;45;54985;9;NPVD
PH 7210;-2;0;2;0;57,60;115,20;107;38,20;1;20466;04-M/22-00597;31-08-2022;18;516;4;NPVM
PH 7210;-5;0;5;0;55,32;276,60;92;38,20;3;52836;04-N/22-00139;31-08-2022;1;516;4;NPVM
PH 7210;-30;0;30;0;56,45;1693,50;62;38,20;3;67797;04-N/22-00140;2-09-2022;1;516;4;NPVM
PH 7210;-1;0;1;0;55,32;55,32;61;38,20;3;52836;04-N/22-00143;5-09-2022;1;516;4;NPVM
PH 7210;-1;0;1;0;73,65;73,65;55;38,20;1;66999;09-PM/22-01264;13-09-2022;45;54985;9;NPVD
PH 7210;-1;0;1;0;60,63;60,63;51;38,20;1;20239;08-N/22-02499;15-09-2022;1;516;8;NPVD
PH 7210;-3;0;3;0;59,42;178,26;51;38,20;2;56057;08-N/22-02504;15-09-2022;1;516;8;NPVD
PH 7210;-1;0;1;0;73,55;73,55;45;38,20;1;66998;09-PM/22-01293;26-09-2022;45;54985;9;NPVD
PH 7210;-2;0;2;0;55,32;110,64;45;38,20;1;40621;04-N/22-00150;26-09-2022;1;516;4;NPVM
PH 7210;-4;0;4;0;57,60;230,40;37;38,20;1;20466;04-M/22-00665;4-10-2022;18;516;4;NPVM
PH 7210;-5;0;5;0;55,32;276,60;32;38,20;3;34760;04-M/22-00669;6-10-2022;18;67765;4;NPVM
