Referencia;Salidas;Precio;Importe;Existencia;Precio_Medio;Coste_Total;Beneficio_Total;Margen;Escalon_Precio;Codigo_Cliente;Codigo_Factura;Fecha_Factura;Serie_Factura;Empresa_Emisora;Nombre_Tarifa
PH 7210;2;53.84;107.68;205;34.35;68.7;38.980000000000004;36.1998514115899;1;20466;04-M/22-00015;2022-12-01;18;4;NPVM
PH 7210;1;56.67;56.67;204;34.35;34.35;22.32;39.385918475383804;1;48380;08-N/22-00081;2022-01-13;1;8;NPVD
PH 7210;4;65.29;261.16;191;34.35;137.4;123.76000000000002;47.38857405421964;1;66756;09-PM/22-00174;2022-01-27;45;9;NPVD
PH 7210;0;65.29;-261.16;191;34.35;0.0;-261.16;100.0;1;66756;09-PM/22-00184;2022-01-31;45;9;NPVD
PH 7210;4;65.29;261.16;191;34.35;137.4;123.76000000000002;47.38857405421964;1;67664;09-S/22-00031;2022-01-31;38;9;NPVD
PH 7210;1;62.81;62.81;185;34.35;34.35;28.46;45.311256169399776;1;66998;09-PM/22-00256;2022-02-14;45;9;NPVD
PH 7210;4;56.67;226.68;177;34.35;137.4;89.28;39.385918475383804;1;66940;08-N/22-00515;2022-02-22;1;8;NPVD
PH 7210;1;62.81;62.81;159;34.35;34.35;28.46;45.311256169399776;1;66998;09-PM/22-00379;2022-07-03;45;9;NPVD
PH 7210;5;53.84;269.2;152;34.35;171.75;97.44999999999999;36.1998514115899;1;48078;04-M/22-00145;2022-09-03;18;4;NPVM
PH 7210;1;44.74;44.74;151;34.35;34.35;10.39;23.223066607063032;1;67488;04-S/22-00003;2022-03-16;38;4;NPVD
PH 7210;5;53.84;269.2;143;34.35;171.75;97.44999999999999;36.1998514115899;1;40621;04-N/22-00056;2022-03-18;1;4;NPVM
PH 7210;2;76.64;153.28;142;34.35;68.7;84.58;55.180062630480165;1;66756;09-PM/22-00458;2022-03-21;45;9;NPVD
PH 7210;2;53.84;107.68;138;34.35;68.7;38.980000000000004;36.1998514115899;1;20466;04-M/22-00166;2022-03-22;18;4;NPVM
PH 7210;1;76.03;76.03;138;34.35;34.35;41.68;54.82046560568197;1;66998;09-PM/22-00473;2022-03-23;45;9;NPVD
PH 7210;0;52.73;-52.73;137;34.35;0.0;-52.73;100.0;1;67488;04-S/22-00004;2022-03-24;38;4;NPVD
PH 7210;1;42.97;42.97;137;34.35;34.35;8.619999999999997;20.060507330695827;1;67488;04-S/22-00004;2022-03-24;38;4;NPVD
PH 7210;5;51.71;258.55;132;34.35;171.75;86.80000000000001;33.571842970411915;1;52836;04-N/22-00060;2022-03-24;1;4;NPVM
PH 7210;2;56.67;113.34;130;34.35;68.7;44.64;39.385918475383804;1;67743;08-N/22-00856;2022-03-25;1;8;NPVD
PH 7210;6;54.39;326.34;230;35.99;215.94;110.39999999999998;33.8297481154624;1;39162;04-M/22-00199;2022-03-31;18;4;NPVM
PH 7210;63;51.17;3223.71;167;35.99;2267.3700000000003;956.3399999999997;29.665819816298605;3;34760;04-M/22-00204;2022-04-04;18;4;NPVM
PH 7210;1;44.15;44.15;166;35.99;35.99;8.159999999999997;18.482446206115508;1;67488;04-S/22-00005;2022-04-18;38;4;NPVD
PH 7210;1;92.0;92.0;158;35.99;35.99;56.01;60.880434782608695;1;66998;09-PM/22-00612;2022-04-27;45;9;NPVD
PH 7210;0;92.0;-92.0;158;35.99;0.0;-92.0;100.0;1;66998;09-PM/22-00617;2022-04-27;45;9;NPVD
PH 7210;1;89.0;89.0;158;35.99;35.99;53.01;59.561797752808985;1;67795;09-S/22-00071;2022-04-27;38;9;NPVD
PH 7210;1;51.17;51.17;141;35.99;35.99;15.18;29.66581981629861;3;52836;04-N/22-00084;2022-06-05;1;4;NPVM
PH 7210;1;67.77;67.77;120;35.99;35.99;31.779999999999994;46.89390585804928;1;66756;09-PM/22-00690;2022-05-13;45;9;NPVD
PH 7210;4;56.11;224.44;116;35.99;143.96;80.47999999999999;35.858135804669395;2;66940;08-N/22-01345;2022-05-13;1;8;NPVD
PH 7210;4;67.77;271.08;112;35.99;143.96;127.11999999999998;46.89390585804928;2;66756;09-PM/22-00723;2022-05-17;45;9;NPVD
PH 7210;4;53.84;215.36;104;35.99;143.96;71.4;33.15378900445765;1;57805;04-N/22-00091;2022-05-23;1;4;NPVM
PH 7210;5;54.39;271.95;95;35.99;179.95000000000002;91.99999999999997;33.829748115462394;1;40621;04-N/22-00095;2022-05-26;1;4;NPVM
PH 7210;1;56.98;56.98;79;35.99;35.99;20.989999999999995;36.837486837486836;1;20466;04-M/22-00409;2022-06-17;18;4;NPVM
PH 7210;0;54.39;-108.78;206;38.2;0.0;-108.78;100.0;1;39162;04-M/22-00440;2022-06-27;18;4;NPVM
PH 7210;5;54.73;273.65;176;38.2;191.0;82.64999999999998;30.202813813265113;1;40621;04-N/22-00119;2022-04-07;1;4;NPVM
PH 7210;1;67.77;67.77;175;38.2;38.2;29.569999999999993;43.632875903792225;1;68022;09-S/22-00228;2022-05-07;38;9;NPVD
PH 7210;1;67.77;67.77;173;38.2;38.2;29.569999999999993;43.632875903792225;1;66999;09-PM/22-01113;2022-11-07;45;9;NPVD
PH 7210;1;57.6;57.6;170;38.2;38.2;19.4;33.68055555555555;1;20466;04-M/22-00490;2022-07-15;18;4;NPVM
PH 7210;3;71.07;213.21;167;38.2;114.60000000000001;98.61;46.25017588293232;1;68109;09-S/22-00306;2022-07-19;38;9;NPVD
PH 7210;2;57.6;115.2;165;38.2;76.4;38.8;33.68055555555555;1;39162;04-M/22-00500;2022-07-20;18;4;NPVM
PH 7210;1;73.65;73.65;134;38.2;38.2;35.45;48.133061778682965;1;66999;09-PM/22-01137;2022-07-21;45;9;NPVD
PH 7210;1;44.73;44.73;134;38.2;38.2;6.529999999999994;14.598703331097685;1;67488;04-S/22-00008;2022-07-22;38;4;NPVD
PH 7210;1;67.77;67.77;125;38.2;38.2;29.569999999999993;43.632875903792225;1;66999;09-PM/22-01174;2022-03-08;45;9;NPVD
PH 7210;1;52.5;52.5;116;38.2;38.2;14.299999999999997;27.238095238095234;1;67488;04-S/22-00009;2022-12-08;38;4;NPVD
PH 7210;2;67.77;135.54;114;38.2;76.4;59.139999999999986;43.632875903792225;1;66999;09-PM/22-01203;2022-08-22;45;9;NPVD
PH 7210;2;57.6;115.2;107;38.2;76.4;38.8;33.68055555555555;1;20466;04-M/22-00597;2022-08-31;18;4;NPVM
PH 7210;5;55.32;276.6;92;38.2;191.0;85.60000000000002;30.947216196673903;3;52836;04-N/22-00139;2022-08-31;1;4;NPVM
PH 7210;30;56.45;1693.5;62;38.2;1146.0;547.5;32.32949512843224;3;67797;04-N/22-00140;2022-02-09;1;4;NPVM
PH 7210;1;55.32;55.32;61;38.2;38.2;17.119999999999997;30.947216196673892;3;52836;04-N/22-00143;2022-05-09;1;4;NPVM
PH 7210;1;73.65;73.65;55;38.2;38.2;35.45;48.133061778682965;1;66999;09-PM/22-01264;2022-09-13;45;9;NPVD
PH 7210;1;60.63;60.63;51;38.2;38.2;22.43;36.99488701962724;1;20239;08-N/22-02499;2022-09-15;1;8;NPVD
PH 7210;3;59.42;178.26;51;38.2;114.60000000000001;63.65999999999998;35.711881521373265;2;56057;08-N/22-02504;2022-09-15;1;8;NPVD
PH 7210;1;73.55;73.55;45;38.2;38.2;35.349999999999994;48.062542488103325;1;66998;09-PM/22-01293;2022-09-26;45;9;NPVD
PH 7210;2;55.32;110.64;45;38.2;76.4;34.239999999999995;30.947216196673892;1;40621;04-N/22-00150;2022-09-26;1;4;NPVM
PH 7210;4;57.6;230.4;37;38.2;152.8;77.6;33.68055555555555;1;20466;04-M/22-00665;2022-04-10;18;4;NPVM
PH 7210;5;55.32;276.6;32;38.2;191.0;85.60000000000002;30.947216196673903;3;34760;04-M/22-00669;2022-06-10;18;4;NPVM
PH 7210;1;60.63;60.63;29;38.2;38.2;22.43;36.99488701962724;1;37907;08-N/22-02735;2022-10-10;1;8;NPVD
PH 7210;9;55.32;497.88;18;38.2;343.8;154.07999999999998;30.947216196673892;3;34760;04-M/22-00684;2022-11-10;18;4;NPVM
PH 7210;5;56.45;282.25;9;38.2;191.0;91.25;32.32949512843224;2;40621;04-N/22-00164;2022-10-14;1;4;NPVM
PH 7210;1;73.65;73.65;8;38.2;38.2;35.45;48.133061778682965;1;66999;09-PM/22-01341;2022-10-17;45;9;NPVD
PH 7210;3;55.32;165.96;0;38.2;114.60000000000001;51.36;30.947216196673892;3;34760;04-M/22-00716;2022-10-21;18;4;NPVM
PH 7210;1;52.51;52.51;0;38.2;38.2;14.309999999999995;27.251952009141107;1;67488;04-S/22-00011;2022-10-26;38;4;NPVD
PH 7210;10;55.32;553.2;116;38.66;386.59999999999997;166.60000000000008;30.115690527838048;3;57805;04-N/22-00178;2022-08-11;1;4;NPVM
PH 7210;2;55.32;110.64;114;38.66;77.32;33.32000000000001;30.11569052783804;3;52836;04-N/22-00181;2022-08-11;1;4;NPVM
PH 7210;1;60.63;60.63;113;38.66;38.66;21.970000000000006;36.23618670625104;1;39979;08-N/22-03060;2022-08-11;1;8;NPVD
PH 7210;12;55.32;663.84;94;38.66;463.91999999999996;199.92000000000007;30.11569052783804;3;34760;04-M/22-00772;2022-10-11;18;4;NPVM
PH 7210;1;52.28;52.28;94;38.66;38.66;13.620000000000005;26.052027543993887;1;67488;04-S/22-00012;2022-11-16;38;4;NPVD
PH 7210;5;57.6;288.0;83;38.66;193.29999999999998;94.70000000000002;32.88194444444445;1;20466;04-M/22-00814;2022-11-23;18;4;NPVM
PH 7210;2;72.73;145.46;82;38.66;77.32;68.14000000000001;46.844493331500075;1;68109;09-S/22-00796;2022-11-24;38;9;NPVD
PH 7210;1;57.6;57.6;82;38.66;38.66;18.940000000000005;32.88194444444445;1;48078;04-M/22-00818;2022-11-24;18;4;NPVM
PH 7210;10;56.45;564.5;71;38.66;386.59999999999997;177.90000000000003;31.514614703277243;1;40621;04-N/22-00196;2022-11-25;1;4;NPVM
PH 7210;1;88.0;88.0;71;38.66;38.66;49.34;56.06818181818182;1;68839;09-S/22-00810;2022-11-28;38;9;NPVD
PH 7210;2;57.6;115.2;63;38.66;77.32;37.88000000000001;32.88194444444445;1;48078;04-M/22-00828;2022-11-28;18;4;NPVM
PH 7210;6;55.32;331.92;63;38.66;231.95999999999998;99.96000000000004;30.11569052783804;3;34760;04-M/22-00830;2022-11-28;18;4;NPVM
PH 7210;1;89.0;89.0;61;38.66;38.66;50.34;56.56179775280899;1;66998;09-PM/22-01472;2022-11-30;45;9;NPVD
PH 7210;6;55.32;331.92;267;36.17;217.02;114.9;34.61677512653652;3;34760;04-M/22-00851;2022-07-12;18;4;NPVM
PH 7210;2;72.73;145.46;267;36.17;72.34;73.12;50.26811494568953;1;68930;09-S/22-00867;2022-09-12;38;9;NPVD
PH 7210;5;55.32;276.6;225;36.17;180.85000000000002;95.75;34.61677512653652;3;34760;04-M/22-00888;2022-12-21;18;4;NPVM
PH 7210;4;56.45;225.8;225;36.17;144.68;81.12;35.92559787422498;1;40621;04-N/22-00203;2022-12-21;1;4;NPVM
PH 7210;1;72.73;72.73;219;36.17;36.17;36.56;50.26811494568953;1;69062;09-S/22-00969;2022-12-28;38;9;NPVD
PH 7210;10;55.32;553.2;209;36.17;361.70000000000005;191.5;34.61677512653652;3;34760;04-M/22-00896;2022-12-28;18;4;NPVM
PH 7210;2;57.6;115.2;187;36.17;72.34;42.86;37.20486111111111;1;20466;04-M/22-00899;2022-12-30;18;4;NPVM
PH 7266;0;30.58;-30.58;1069;19.5;0.0;-30.58;100.0;1;66998;09-PM/22-00002;2022-03-01;45;9;NPVD
PH 7266;1;30.58;30.58;1069;19.5;19.5;11.079999999999998;36.23283191628515;1;67535;09-S/22-00002;2022-03-01;38;9;NPVD
PH 7266;4;34.7;138.8;1065;19.5;78.0;60.80000000000001;43.804034582132566;2;66756;09-PM/22-00014;2022-04-01;45;9;NPVD
PH 7266;1;33.06;33.06;1006;19.5;19.5;13.560000000000002;41.01633393829401;1;66998;09-PM/22-00046;2022-07-01;45;9;NPVD
PH 7266;1;34.7;34.7;1001;19.5;19.5;15.200000000000003;43.804034582132566;1;66756;09-PM/22-00055;2022-10-01;45;9;NPVD
PH 7266;5;28.53;142.65;994;19.5;97.5;45.150000000000006;31.65089379600421;1;48078;04-M/22-00009;2022-10-01;18;4;NPVM
PH 7266;10;28.53;285.3;984;19.5;195.0;90.30000000000001;31.65089379600421;1;39162;04-M/22-00012;2022-10-01;18;4;NPVM
PH 7266;1;40.0;40.0;984;19.5;19.5;20.5;51.24999999999999;1;66998;09-PM/22-00060;2022-11-01;45;9;NPVD
PH 7266;1;31.41;31.41;984;19.5;19.5;11.91;37.917860553963706;1;66998;09-PM/22-00061;2022-11-01;45;9;NPVD
PH 7266;20;28.53;570.6;960;19.5;390.0;180.60000000000002;31.65089379600421;1;20466;04-M/22-00015;2022-12-01;18;4;NPVM
PH 7266;1;33.06;33.06;960;19.5;19.5;13.560000000000002;41.01633393829401;1;66998;09-PM/22-00084;2022-01-13;45;9;NPVD
PH 7266;0;33.06;-33.06;960;19.5;0.0;-33.06;100.0;1;66998;09-PM/22-00093;2022-01-13;45;9;NPVD
PH 7266;1;33.06;33.06;960;19.5;19.5;13.560000000000002;41.01633393829401;1;67535;09-S/22-00015;2022-01-13;38;9;NPVD
PH 7266;1;35.06;35.06;956;19.5;19.5;15.560000000000002;44.381061038220196;1;66999;09-PM/22-00096;2022-01-14;45;9;NPVD
PH 7266;1;32.23;32.23;934;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00110;2022-01-18;45;9;NPVD
PH 7266;48;27.95;1341.6;884;19.5;936.0;405.5999999999999;30.232558139534877;2;57805;04-N/22-00010;2022-01-18;1;4;NPVM
PH 7266;1;31.4;31.4;882;19.5;19.5;11.899999999999999;37.89808917197452;1;66998;09-PM/22-00121;2022-01-19;45;9;NPVD
PH 7266;1;32.23;32.23;882;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00122;2022-01-19;45;9;NPVD
PH 7266;1;32.23;32.23;828;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00134;2022-01-21;45;9;NPVD
PH 7266;1;32.23;32.23;817;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00150;2022-01-25;45;9;NPVD
PH 7266;2;30.46;60.92;817;19.5;39.0;21.92;35.98161523309258;1;66998;09-PM/22-00151;2022-01-25;45;9;NPVD
PH 7266;1;33.88;33.88;817;19.5;19.5;14.380000000000003;42.443919716646995;1;66756;09-PM/22-00154;2022-01-25;45;9;NPVD
PH 7266;4;27.4;109.6;817;19.5;78.0;31.599999999999994;28.832116788321166;3;57160;04-M/22-00034;2022-01-25;18;4;NPVM
PH 7266;0;32.23;-32.23;815;19.5;0.0;-32.23;100.0;1;66999;09-PM/22-00164;2022-01-26;45;9;NPVD
PH 7266;1;32.23;32.23;815;19.5;19.5;12.729999999999997;39.497362705553826;1;67659;09-S/22-00028;2022-01-26;38;9;NPVD
PH 7266;1;32.23;32.23;799;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00175;2022-01-28;45;9;NPVD
PH 7266;1;23.23;23.23;799;19.5;19.5;3.7300000000000004;16.05682307361171;1;66998;09-PM/22-00177;2022-01-28;45;9;NPVD
PH 7266;14;28.84;403.76;784;19.5;273.0;130.76;32.38557558945908;2;53313;08-N/22-00265;2022-01-28;1;8;NPVD
PH 7266;1;32.23;32.23;784;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00181;2022-01-31;45;9;NPVD
PH 7266;1;32.23;32.23;782;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00196;2022-01-02;45;9;NPVD
PH 7266;1;32.23;32.23;782;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00198;2022-01-02;45;9;NPVD
PH 7266;1;31.4;31.4;779;19.5;19.5;11.899999999999999;37.89808917197452;1;66998;09-PM/22-00205;2022-02-02;45;9;NPVD
PH 7266;1;32.23;32.23;770;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00227;2022-07-02;45;9;NPVD
PH 7266;1;32.23;32.23;769;19.5;19.5;12.729999999999997;39.497362705553826;1;66998;09-PM/22-00231;2022-08-02;45;9;NPVD
PH 7266;3;28.93;86.79;766;19.5;58.5;28.290000000000006;32.59592118907709;1;66999;09-PM/22-00240;2022-09-02;45;9;NPVD
