Fecha;Numero_Factura;Cantidad;SPV;Averia;Referencia
2022-07-26;;0;L22001;el cliente no lo quiere , le ha llegado en 3 días  una unidad dela rticulo ASU 0060;
2022-01-03;;1;C22001;SN 342012503155 NO se enciende;PH 9485
2022-01-03;08-N/21-03679;1;B22001;nº serie 5605922026913   error a59;PH 9220
2022-01-04;;1;C22002;SN 241806532368 Cuando deja de recibir corriente, dura unos segundos y se apaga.;PH 9465
2022-01-12;;1;C22003;SN 300131AS30000060 cuando se va la corriente y vuelve no se rearma. Hay que desconecarlo de la luz y volverlo a conectar. No conectar con su aplicación por USB.;PH 9220
2022-01-12;;1;C22004;SN 241805501122 El SAI se apaga cuando se corta la luz.;PH 9469
2022-01-12;;1;C22005;SN 3200429X30000156 Cuando falta la alimentción, se apaga solo de inmediato.;PH 7288
2022-01-18;;1;C22006;SN 3001309Z30000210 Se apaga el sai repentinamente y con el los equipos conectados. Funcionaba sin problema desde Abril de 2020;PH 9210
2022-01-18;08-N/21-01388;1;B22002;la pantalla esta dañada de una unidad;JD 3002
2022-01-19;;1;C22007;SN 320050al30000005 La pantalla está dañada y ya se ahn hecho pruebas con el sat de inec y no tiene solucion.;PH 7512
2022-01-21;;1;C22008;SN 3001320S30000052 Estando encendido se escuchó un chispazo y salió mucho humo por la parte trasera.;PH 9230
2022-01-21;;1;C22009;SN 3001319Y30000013 Al encenderlo da un chispazo y provoca que salten los termicos.;PH 9220
2022-01-21;08-N/20-02496;1;22004;NO FUNCIONA ;AB0140
2022-01-24;;1;B22003;esta la pantalla estropeado, hemos hecho de todo, debe estar en bypass directo, manda cambiar desde portugal nº serie 85322101600282  le hacemos el envio de un sai nuevo y pte de recoger;PH 9283
2022-01-24;04-N/21-00063;1;B22004;no pasa de 400 nunca, eso dice el cliente;JD 3002
2022-01-24;;1;C22010;SN 83321910101137 Despues del rearme, al poco tiempo sale error 41 en el display.;PH 9330
2022-01-25;;1;C22011;SN 3001320N30000032 Estando trabajando se apaga sin previo aviso. Todas las bat estaban por debajo de 5V. Las cambié por unas nuevas y empezó a funcionar durante 4 horas. Luego comenso a pitar y marcar error 59 y otra vez las baterías estaban por debajo de 6V y ya no encendió.;PH 9230
2022-02-02;;1;C22012;SN 342104504335;PH 9408
2022-02-02;;1;C22013;SN 83922010100223 No enciende.;PH 9270
2022-02-04;;1;C22015;SN 442101509071 Falla al tener carga.;PH 9410
2022-02-04;;1;C22016;SN 341912503699 No enciende.;PH 9485
2022-02-07;;1;C22017;SN 742004509899 No enciende;PH 9420
2022-02-07;;1;C22018;SN 341607300164 No funciona;PH 9408
2022-02-07;;1;C22019;SN 242010546813 No conseva corriente cuando hay apagón.;PH 9465
2022-02-07;08-N/21-03580;1;22006;egún factura adjunta ,y observamos que en dos o tres ocasiones se apaga  , siempre cuando el equipo está apagado ( de noche ) y la mañana cuando se enciende el equipo no tiene corriente por que la batería está descargada, tenemos que encender nuevamente el Sai y lógicamente sin el soporte de la batería , para que encender el equipo. Hacemos mención a que no hay cortes por tormentas u  otros motivos que provocan los cortes de corriente , así como que en todo caso el Sai no se rearma automáticamente aunque;PH 7610
2022-02-07;08-N/22-00082;1;B22006;no funciona, y le falta la pestaña de atras, le llegó asi;JD 3002
2022-02-10;;1;C22020;SN 3001319Z300000105 Al enchufar el SAI entra en corto saltando el magnetotérmico.;PH 9220
2022-02-11;08-N/22-00225;1;B22008;deja de funcionar, y cuando funciona se ve muy mal la salidas vga;VTR 1210
2022-02-15;;1;C22021;SN 242104511083 Nada mas conectarlo por primera vez, no enciende.;PH 9465
2022-02-16;;1;C22022;SN 300131AW30000054 Lo enciende pero se pone a pitar.;PH 9220
2022-02-16;;1;C22023;SN 3200500N30000005 Se apaga muy rápidamente.;PH 7512
2022-02-16;;1;C22024;SN 241911525584 No enciende.;PH 9464
2022-02-16;08-N/21-00354;1;B22009;El tester da lecturas falsas. Probando latiguillos nuevos da como resultado "short". Y en un cable de red de un cliente que estaba bien, mostraba que faltaban pines.;DX 281
2022-02-18;;1;C22026;SN 300131AS30000020 El equipo se ha apagado y no suminitra corriente. ha dejado de funcionar.;PH 9220
2022-02-18;08-N/21-01278;1;B22010;se eschucha pero no se ve;CAM 37
2022-02-22;04-N/21-00172;1;B22011;no reconocida;CAM 37
2022-02-22;04-N/21-00023;1;B22011;no funciona, y otros si, en la misma situacion;AK 3212-B
2022-02-22;04-N/21-00185;1;B22011;cristal despegado, defecto de fabrica;PHC 2209
2022-02-22;04-N/22-00032;1;B22012;no enciende;PEC 102
2022-02-23;08-I/20-00052;1;B22013;han dejado de funcionar;PI 5025
2022-02-24;;1;C22027;SN 24180535985 NO ENCIENDE;PH 9406
2022-02-24;08-N/21-03680;1;22009;nO FUNCIONA ;AM4121
2022-02-24;;1;C22028;SN 320041AN30000231 No funciona;PH 7266
2022-02-25;;1;C22029;SN 3200520N30000028 2 veces se ha quedado congelado, sin salida de corriente. Ha habido que desconectar la alimentación del SAI para que se restaure.;PH 7530
2022-02-25;;1;C22030;sn 3200539V30000037 Dejo de auministrar energia al equipo , apagandose el Sai , y por tanto deja la bateria descargada. En un principio se detecto ocasionalmente , pero ahora ya no se aguanta practicamente nada , por lo que deja de tener la mas minima segurid;PH 7610
