Serie, ejercicio y nº factura;Fecha;Base general;Beneficio
04-M/23-00018;2023-01-11;1376.79;468.81
04-M/22-00801;2022-11-21;2409.34;577.66
04-M/22-00759;2022-11-08;147.30;37.43
04-M/22-00727;2022-10-26;2334.79;761.05
04-M/22-00688;2022-10-13;1588.45;502.87
04-M/22-00556;2022-08-10;1304.54;411.27
04-M/22-00506;2022-07-22;1240.50;340.24
04-M/22-00484;2022-07-13;1550.14;465.68
04-M/22-00339;2022-05-25;1513.85;467.47
04-M/22-00208;2022-04-04;2711.48;847.43
04-M/14-00037;2014-02-17;1711.95;397.75
04-M/14-00034;2014-02-13;1803.10;550.33
04-M/14-00031;2014-01-31;10017.64;2853.99
04-M/14-00019;2014-01-22;360.36;136.57
04-M/14-00014;2014-01-17;6818.32;2084.73
04-M/14-00005;2014-01-14;970.60;276.78
04-M/13-00005;2013-12-12;741.88;226.49
04-M/13-00004;2013-12-09;5155.63;1191.85
04-M/13-00003;2013-12-02;1303.36;229.70
