Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PH 9270;-1;0;1;0;1203.5800;1203.5800;14;742.0238;10388.3332;3;57160;04-M/23-00052;01/04-M/23-00062;23-01-2023;9:43:34;23-01-2023;18;;527;4;No;GALLEON ONE 10K;;8;NPVM;PED2022A1312C
11;-1;0;1;0;5.5000;5.5000;0;0.0000;0.0000;3;57160;04-M/23-00035;01/04-M/23-00039;16-01-2023;17:21:35;16-01-2023;18;;527;4;No;;;8;NPVM;PED2023A1016
YUA 107;-6;0;6;0;14.0000;84.0000;383;11.2825;4321.1975;3;57160;04-M/23-00035;01/04-M/23-00039;16-01-2023;17:21:35;16-01-2023;18;;527;4;No;NP7-12L;;8;NPVM;PED2023A1016
RF 2011;-30;0;30;0;3.8300;114.9000;56;2.7884;156.1504;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;#04790;;8;NPVM;PED2023A2C
PHC 5092;-2;0;2;0;43.1000;86.2000;5;27.3655;136.8275;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;F2210HREK;;8;NPVM;PED2023A2C
PHC 5082;-2;0;2;0;31.5600;63.1200;5;20.0355;100.1775;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;F228HR;;8;NPVM;PED2023A2C
PH 9410;-4;0;4;0;63.0900;252.3600;302;43.0023;12986.6946;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2023A2C
YUA 109;-10;0;10;0;21.4500;214.5000;224;17.2424;3862.2976;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;NPW45-12;;8;NPVM;PED2023A2C
PEN 0110;-1;0;1;0;2.0900;2.0900;2;1.8000;3.6000;3;57160;04-M/23-00031;01/04-M/23-00035;13-01-2023;13:35:20;13-01-2023;18;;527;4;No;;;8;NPVM;PED2023A2C
DTA 025;-10;0;10;0;1.8000;18.0000;50;1.0114;50.5700;3;57160;04-M/22-00872;01/04-M/22-00986;16-12-2022;13:36:08;16-12-2022;18;;527;4;No;TUBE HY 420 WHITE 25;;8;NPVM;PED2022A1793C
