Referencia;Descripción;Entradas;Salidas;Precio;Importe;Precio medio;Escalón de precio;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
11;Gestión;0;1;5,50;5,50;0,00;3;04-M/19-01220;01/04-M/19-01388;28-11-2019;13:47:50;28-11-2019;18;;4;No;;;8;NPVM;
11;Gestión;0;1;5,50;5,50;0,00;3;04-M/21-00605;01/04-M/21-00680;18-06-2021;10:10:18;18-06-2021;18;;4;No;;;8;NPVM;PED2021A13374
11;Gestión;0;1;5,50;5,50;0,00;3;04-M/23-00035;01/04-M/23-00039;16-01-2023;17:21:35;16-01-2023;18;;4;No;;;8;NPVM;PED2023A1016
9;Abono correspondiente a descuento en Facturas Diciembre 3% ;1;0;185,68;-185,68;0,00;1;04-M/16-00045;01/04-M/16-00045;25-02-2016;17:21:38;4-03-2016;18;;4;No;;;8;NPVM;
9;Consecución Rapels Febrero, Marzo y Abril ;1;0;297,52;-297,52;0,00;1;04-M/18-00289;01/04-M/18-00338;11-05-2018;9:20:47;11-05-2018;18;;4;No;;;8;NPVM;
9;Consecución Rapels Junio, Julio, Septiembre, Noviembre y Diciembre;1;0;600,00;-600,00;0,00;1;04-M/18-00949;01/04-M/18-01066;18-12-2018;15:42:55;19-12-2018;18;;4;No;;;8;NPVM;
9;Rebate 2019 por  consecución de objetivos;1;0;1397,95;-1397,95;0,00;1;04-M/20-00228;01/04-M/20-00129;29-01-2020;14:02:21;19-02-2020;18;;4;No;;;8;NPVM;
9;UQ 3323 Funciona correctamente;0;1;0,00;0,00;0,00;1;04-M/20-00937;01/04-M/20-00992;14-10-2020;8:51:31;20-10-2020;18;;4;No;;;8;NPVM;
9;Techo PHO 6618;0;1;0,00;0,00;0,00;1;04-M/21-00407;01/04-M/21-00459;14-04-2021;17:10:08;14-04-2021;18;;4;No;;;8;NPVM;
9;cerradura PHO 3115;0;1;0,00;0,00;0,00;1;04-M/21-00966;01/04-M/21-01074;15-12-2021;9:31:08;17-12-2021;18;;4;No;;;8;NPVM;PED2021A1653C
AB 6290;Conversor RS232 RS422/485 DB9H;0;4;31,29;125,16;21,59;3;02-N/12-13906;01/02-N/12-18952;21-09-2012;16:48:42;21-09-2012;1;;2;No;STD1914SA;;8;NPVM;
AK 5055;Cable de alimentacion 230V divisor 1.20m+0.50m+0.30 m.;0;20;2,01;40,20;1,49;3;04-M/19-01220;01/04-M/19-01388;28-11-2019;13:47:50;28-11-2019;18;;4;No;AK-PC-04A;;8;NPVM;
AK 5055;Cable de alimentacion 230V divisor 1.20m+0.50m+0.30 m.;0;37;2,01;74,37;1,49;3;04-M/19-01245;01/04-M/19-01070;24-09-2019;14:20:35;3-12-2019;18;;4;No;AK-PC-04A;;8;NPVM;PED2019A1561C
ASU 0001;Teclado en Español ASUS  USB blanco;0;5;2,75;13,75;2,00;3;04-M/20-00359;01/04-M/20-00369;23-03-2020;9:40:54;23-03-2020;18;;4;No;KU-0902W;;8;NPVM;PED2020A437C
ASU 0003;Teclado en español ASUS multimédia USB negro;0;10;3,22;32,20;2,50;3;04-M/20-00359;01/04-M/20-00369;23-03-2020;9:40:54;23-03-2020;18;;4;No;AK1D;;8;NPVM;PED2020A437C
BAT 209;Bateria plomo-ácido 12V  9 Amp;0;16;8,76;140,16;7,01;3;04-M/21-00381;01/04-M/21-00425;7-04-2021;13:02:45;7-04-2021;18;;4;No;MB 9-12;;8;NPVM;PED2021A7949
BNS 1512;Regleta 19" 7 tomas x 16A con interrup. y protec. Phasak negra 1.50 m.;0;10;12,27;122,70;8,58;3;04-M/17-00457;01/04-M/17-00548;20-11-2017;10:34:11;20-11-2017;18;;4;No;MS-PDU-07S;;8;NPVM;6305
BNS 3520;Regleta 19" con 6 tomas + disjuntor en negro de 3m.;0;2;21,54;43,08;16,81;3;04-M/20-00187;01/04-M/20-00179;7-02-2020;9:36:20;10-02-2020;18;;4;No;I-CASE STRIP-61UD;;8;NPVM;
BNS 3520;Regleta 19"  6 tomas + disjuntor en negro de 3m.;0;2;24,24;48,48;18,92;3;04-M/22-00282;01/04-M/22-00321;4-05-2022;16:45:06;5-05-2022;18;;4;No;I-CASE STRIP-61UD;;8;NPVM;PED2022A498C
DOM 9154;Kit "Home Guard MS 8000" alarma, sirena y mando;0;4;35,60;142,40;30,26;3;02-N/12-13906;01/02-N/12-18952;21-09-2012;16:48:42;21-09-2012;1;;2;No;9154;;8;NPVM;
DTA 005;Silicona térmica blanca en jeringuilla PHASAK, 0.5 gramos tapa rojo;0;200;0,17;34,00;0,08;3;02-M/13-00401;01/02-M/13-00522;4-10-2013;16:54:42;18-10-2013;18;;2;No;TUBE HY 420 WHITE 0.;;8;NPVM;
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,31;15,50;0,15;3;02-M/13-00380;01/02-M/13-00486;20-09-2013;18:00:36;4-10-2013;18;;2;No;TUBE HY 420 WHITE1,5;;8;NPVM;
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;100;0,31;31,00;0,15;3;02-M/13-00473;01/02-M/13-00548;18-10-2013;12:03:13;5-12-2013;18;;2;No;TUBE HY 420 WHITE1,5;;8;NPVM;
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;100;0,31;31,00;0,14;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;742
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;100;0,53;53,00;0,25;2;04-M/15-00093;01/04-M/15-00090;19-03-2015;12:11:12;17-04-2015;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;200;0,33;66,00;0,23;3;04-M/16-00055;01/04-M/16-00053;4-03-2016;12:00:53;21-03-2016;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;100;0,34;34,00;0,24;2;04-M/17-00197;01/04-M/17-00240;13-06-2017;17:17:44;13-06-2017;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;5500
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,34;17,00;0,24;1;04-M/18-00074;01/04-M/18-00085;5-02-2018;17:12:31;5-02-2018;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2018A77C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,28;14,00;0,20;1;04-M/18-00189;01/04-M/18-00224;26-03-2018;9:44:42;26-03-2018;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2018A492C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,28;14,00;0,20;1;04-M/18-00565;01/04-M/18-00644;3-09-2018;16:14:08;3-09-2018;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2018A1321C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,28;14,00;0,20;1;04-M/18-00746;01/04-M/18-00845;26-10-2018;10:29:20;29-10-2018;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2018A1638C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,28;14,00;0,20;3;04-M/19-00346;01/04-M/19-00379;26-03-2019;10:01:10;26-03-2019;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2019A388C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;50;0,35;17,50;0,20;3;04-M/19-00989;01/04-M/19-01110;30-09-2019;10:14:21;30-09-2019;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2019A902C
DTA 015;Silicona térmica blanca en jeringuilla PHASAK, 1.5 gramos tapa azul;0;21;0,35;7,35;0,20;3;04-M/20-00075;01/04-M/20-00063;20-01-2020;17:05:39;21-01-2020;18;;4;No;TUBE HY 420 WHITE1,5;;8;NPVM;PED2020A9C
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;20;0,31;6,20;0,18;3;02-M/13-00132;01/02-M/13-00180;5-04-2013;14:08:08;5-04-2013;18;;2;Si;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,31;31,00;0,17;3;02-M/13-00250;01/02-M/13-00324;11-06-2013;11:48:38;20-06-2013;18;;2;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,37;37,00;0,16;1;04-M/14-00006;01/02-M/13-00680;23-12-2013;18:26:24;14-01-2014;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
