Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
08-AB/23-00004;2023-01-12;-52.50;-52.50;-63.53
08-N/23-00018;2023-01-04;246.76;60.48;298.58
08-N/23-00008;2023-01-03;58.10;26.01;70.30
08-N/22-03517;2022-12-22;20.94;9.97;25.34
08-N/22-03478;2022-12-19;251.85;72.00;304.74
08-N/22-03314;2022-11-30;267.60;58.96;323.80
08-N/22-03257;2022-11-25;267.60;58.96;323.80
08-N/22-03255;2022-11-25;31.95;16.70;38.66
08-N/22-03152;2022-11-16;24.80;8.40;30.01
08-N/22-02947;2022-10-27;260.64;79.79;315.37
08-N/22-02931;2022-10-27;37.15;21.85;44.95
08-N/22-02840;2022-10-19;101.21;33.98;122.46
08-N/22-02807;2022-10-17;223.17;84.68;270.04
08-N/22-02718;2022-10-07;111.60;57.14;135.04
08-N/22-02717;2022-10-06;264.07;97.06;319.52
08-N/22-02630;2022-09-28;132.69;40.64;160.55
08-N/22-02588;2022-09-22;8.64;3.40;10.45
08-N/22-02583;2022-09-22;40.60;17.81;49.13
08-N/22-02539;2022-09-19;37.04;13.22;44.82
08-N/22-02510;2022-09-16;84.56;29.89;102.32
08-N/22-02487;2022-09-14;12.22;10.08;14.79
08-N/22-02428;2022-09-07;95.40;18.44;115.43
08-N/22-02339;2022-08-29;200.10;64.20;242.12
08-N/22-02278;2022-08-22;158.18;51.70;191.40
08-N/22-02008;2022-07-14;57.86;24.61;70.01
08-N/22-01858;2022-06-30;67.77;27.58;82.00
08-N/22-01807;2022-06-27;24.05;10.60;29.10
08-N/22-01718;2022-06-17;82.38;30.14;99.68
08-N/22-01696;2022-06-14;87.56;34.44;105.95
08-N/22-01366;2022-05-16;201.42;64.59;243.72
08-N/22-01297;2022-05-11;78.12;5.58;94.53
08-N/22-01164;2022-04-27;131.88;16.08;159.57
08-N/22-00631;2022-03-04;106.56;34.42;128.94
08-N/22-00488;2022-02-18;46.65;15.04;56.45
08-N/22-00439;2022-02-15;123.09;31.14;148.94
08-N/22-00398;2022-02-11;171.30;37.60;207.27
08-N/22-00263;2022-01-28;292.91;105.02;354.42
08-N/22-00218;2022-01-25;134.36;42.63;160.95
08-N/22-00213;2022-01-25;74.05;22.23;88.71
08-N/22-00129;2022-01-18;94.36;31.62;113.04
08-N/22-00045;2022-01-10;95.13;24.94;113.96
08-N/22-00004;2022-01-03;25.26;12.97;30.26
08-N/21-03567;2021-12-17;53.20;18.44;63.73
08-N/21-03339;2021-11-25;119.94;36.69;143.68
