Referencia;Descripción;Fecha;Salidas;Precio;Pedido de venta -> Serie, ejercicio y nº pedido;Pedido de venta -> Nº pedido;Factura de venta -> Serie de factura emitida;Cliente;Cliente -> Nombre fiscal
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;17-Ene-2018;1;127.6400;01/03-N/18-00296;296;1;58291;SPANRED S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Mar-2018;1;104.0000;01/03-N/18-01235;1235;1;15423;BELSATI SISTEMAS, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;7-Mar-2018;1;104.4300;01/04-M/18-00166;166;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-Mar-2018;1;104.4300;01/04-M/18-00180;180;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;19-Mar-2018;1;86.0000;01/04-N/18-00009;9;1;58281;GESTSAI INGENIERIA SL
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;26-Mar-2018;2;127.6400;01/03-N/18-01613;1613;1;59299;SHOTIS SERVICIOS TECNOLÓGICOS, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;4-Abr-2018;1;112.0000;01/03-N/18-01742;1742;1;58291;SPANRED S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;16-Abr-2018;2;127.6400;01/03-N/18-01971;1971;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;20-Abr-2018;1;104.4300;01/04-M/18-00290;290;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;24-May-2018;1;104.4300;01/04-M/18-00385;385;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;25-May-2018;1;114.8800;01/03-N/18-02658;2658;1;48722;BITLAN ASESORES INFORMATICOS, C.B.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;20-Jun-2018;1;127.6400;01/03-N/18-03125;3125;1;14996;SYSCEL SOLUTIONS, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Jul-2018;1;127.6400;01/03-N/18-03152;3152;1;24645;INTERNATIONAL DATA COMPUTER, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Jul-2018;1;127.6400;01/04-M/18-00496;496;18;58281;GESTSAI INGENIERIA SL
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;16-Jul-2018;2;104.4300;01/04-M/18-00547;547;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2018;1;104.4300;01/04-M/18-00584;584;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2018;4;104.4300;01/04-M/18-00580;580;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2018;1;104.4300;01/04-M/18-00581;581;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2018;1;104.4300;01/04-M/18-00582;582;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2018;1;104.4300;01/04-M/18-00583;583;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;7-Ago-2018;1;99.2100;01/04-M/18-00608;608;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Ago-2018;2;104.4300;01/04-M/18-00613;613;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-Sep-2018;1;104.4300;01/04-M/18-00730;730;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-Sep-2018;0;104.4300;01/04-M/18-00729;729;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;28-Sep-2018;1;55.4500;01/03-I/18-04165;4165;2;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;18-Oct-2018;1;99.2100;01/04-M/18-00808;808;18;48078;GRUPO ELECTRO STOCKS S.L.U
